GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
labeasy,com.labeasy.utils,ObjectUtilMapper,30,0,0,0,5,0,4,0,4,0
labeasy,com.labeasy.enums,ApplicationStatus,37,0,0,0,7,0,3,0,3,0
labeasy,com.labeasy.enums,ApplicationErrors,26,0,0,0,6,0,3,0,3,0
labeasy,com.labeasy.entity,BaseBean,0,3,0,0,0,1,0,1,0,1
labeasy,com.labeasy.entity,Inquiry,42,3,0,0,7,1,12,1,12,1
labeasy,com.labeasy.controller,HomeController,7,3,0,0,2,1,1,1,1,1
labeasy,com.labeasy.dto,InquiryDto.InquiryDtoBuilder,86,0,0,0,1,0,9,0,9,0
labeasy,com.labeasy.dto,InquiryDto,70,0,0,0,10,0,15,0,15,0
labeasy,com.labeasy.dto,UserDto,180,0,0,0,21,0,37,0,37,0
labeasy,com.labeasy.dto,UserDto.UserDtoBuilder,218,0,0,0,1,0,20,0,20,0
labeasy,com.labeasy.config,Config,0,79,0,0,0,23,0,7,0,7
labeasy,com.labeasy,LabeasyApplication,5,3,0,0,2,1,1,1,1,1
labeasy,com.labeasy.eception,NotFoundException,4,0,0,0,2,0,1,0,1,0
labeasy,com.labeasy.services.impl,InquiryServiceImpl,74,10,0,0,16,4,7,2,7,2
